SRC	Qty	Score	Excess	STR
90376K000	17	0.964215686	0.5059	12
08528KA00	35	0.964187853	0.0625	20
55578K000	3	0.96313933	5.1862	41
55423K000	6	0.96206183	0.1198	269
05350K500	16	0.961815435	1.4265	119
06600K000	4	0.961738248	0.0137	53
11623K000	2	0.961699735	2.7515	154
05611KD00	13	0.961316964	1.2411	8
08528KA00	34	0.960981216	0.048	20
55743K000	13	0.960967894	0.2015	160
09547KA10	41	0.960737955	0.3784	8
05613K000	3	0.959726372	0.2192	15
33837K100	32	0.959353448	7.6568	98
40500KA00	19	0.959177235	0.0683	6
08460K000	3	0.959030078	0.2136	44
45423K000	3	0.958776242	0.2725	30
19601K000	3	0.958392857	3.6336	152
45413K000	15	0.958217866	0.6952	20
11902K000	4	0.957921627	2.8179	177
16503KB00	15	0.957706349	0.5641	2
44693K000	14	0.956774376	0.369	91
77250K100	6	0.956666667	0.7341	737
09537KB10	127	0.956621311	0.3746	11
31815K000	14	0.956246693	0.0701	508
19653K000	3	0.956222222	0.6793	124
40510KE00	28	0.956141351	2.2808	4
12567KA00	3	0.956117725	0.3106	16
08660K000	2	0.955882353	2.264	67
08680K000	4	0.955715198	1.5676	92
55763K000	2	0.955562169	0.3726	22
08528KA00	33	0.955151532	0.0349	20
01980K000	2	0.954742063	3.7078	461
44655K000	14	0.953243642	0.2421	522
08300K000	4	0.952987576	0.3191	63
12567KB00	4	0.95297619	0.2063	9
16503KB00	14	0.952930556	0.5049	2
09537KB10	126	0.952891939	0.3728	11
05611KF00	9	0.952588537	0.4468	7
08640K000	3	0.952398447	0.3002	175
05611KD00	12	0.952022156	1.1492	8
44635K000	27	0.951662887	0.2236	534
02813K000	11	0.951358584	1.2525	41
09547KA10	40	0.951336049	0.3625	8
16503KA00	1	0.951071429	6.4621	5
37402K000	6	0.950638549	1.4667	244
41737K100	21	0.950205026	0.0328	30
09537KB10	125	0.949281794	0.3655	11
05611KC00	2	0.948736772	4.4175	33
77202K900	29	0.948733998	0.1747	4345
55883K000	13	0.948628763	0.2209	31
40500KA00	18	0.948228244	0.0549	6
16503KB00	13	0.947156746	0.489	2
34225K000	2	0.947109788	2.7355	323
11902K000	3	0.94708664	2.1977	177
08528KA00	32	0.946510403	0.0262	20
44601K000	4	0.94638575	0.2484	252
09537KB10	124	0.945902181	0.3603	11
33837K100	31	0.945535201	7.6502	98
55706K000	1	0.944748677	0.7989	58
44693K000	13	0.944358466	0.283	91
01302K000	16	0.944101097	0.2464	176
09436K100	11	0.943793487	0.3679	44
33836K100	4	0.943710359	7.6244	78
05350K500	15	0.943576681	1.4147	119
05611KD00	11	0.943125827	1.0863	8
09513KA00	7	0.942309621	0.361	22
09537KB10	123	0.941859614	0.3587	11
01225K300	16	0.941694405	0.1368	600
08300K000	3	0.941549817	0.2276	63
41710K000	2	0.940958995	3.0429	197
09513KB00	34	0.940821385	0.879	48
63602K000	2	0.940458815	0.0399	255
06425K000	6	0.94	7.584	310
63312K000	10	0.939197345	0.2188	262
16503KB00	12	0.938884921	0.4473	2
12613K000	4	0.938801467	0.0266	25
09537KB10	122	0.938096388	0.3512	11
08300K000	2	0.93802787	0.146	63
11902K000	2	0.9375	1.4869	177
12567KK00	13	0.93747884	0.1882	20
19653K000	2	0.937162698	0.5567	124
05611KD00	10	0.937156085	1.0049	8
11693K000	3	0.936580688	0.5503	183
53615K300	2	0.936388191	0.2365	112
09547KA10	39	0.936136036	0.3504	8
31815K000	13	0.934537537	0.0218	508
09537KB10	121	0.934286275	0.3489	11
44602K000	11	0.934117192	0.101	113
45413K000	14	0.93398816	0.662	20
40510KE00	27	0.933902109	2.1362	4
44693K000	12	0.933606387	0.1945	91
77250K100	5	0.933578042	0.4521	737
31812K000	5	0.933191364	0.0487	188
55578K000	2	0.932958554	4.4799	41
55743K000	12	0.932798398	0.1669	160
55663K100	7	0.932332286	0.9009	286
01205K200	10	0.932188758	0.1315	392
05613K000	2	0.931994035	0.1517	15
33837K100	30	0.931716954	7.6436	98
12223K000	10	0.931438581	0.1748	12
16503KB00	11	0.931318783	0.408	2
09537KB10	120	0.930422906	0.3465	11
87010K400	11	0.930019724	0.0952	641
77202K900	28	0.929433386	0.1543	4345
08528KA00	31	0.929326323	0.022	20
05430K000	4	0.929181095	0.2059	147
40840K000	18	0.928947368	7.7946	107
11485K000	8	0.928348708	0.1435	374
06333K000	11	0.928091829	0.1845	196
44601K000	3	0.927966102	0.0	252
90376K000	16	0.927941176	0.4494	12
44635K000	26	0.927678571	0.2109	534
09513KB00	33	0.927314546	0.8677	48
09537KB10	119	0.92715466	0.3369	11
16503KB00	10	0.926141534	0.3743	2
03817K000	5	0.925906291	0.0299	18
05611KD00	9	0.925857308	0.9551	8
06492K000	9	0.925	0.2804	113
08527KA00	1	0.924876812	0.5879	18
08485K000	13	0.92482919	0.6534	72
09547KA10	38	0.924308378	0.336	8
40500KA00	17	0.924105723	0.0486	6
05350K500	14	0.924044941	1.3697	119
09537KB10	118	0.923769727	0.3336	11
01605K100	4	0.923434294	0.0669	168
08976K000	9	0.923335762	0.5942	27
06475K100	10	0.92283425	0.2506	357
47112K900	8	0.922240114	0.1698	4561
44693K000	11	0.922205215	0.1081	91
19653K000	1	0.920702381	0.4656	124
90882K000	8	0.9203125	0.0915	35
01707K000	17	0.920128666	0.1614	128
31825K000	5	0.920070606	0.0452	558
09537KB10	117	0.919833202	0.3316	11
10433K000	3	0.917771808	0.1387	128
33837K100	29	0.917737069	7.6371	98
05611KC00	1	0.917718254	3.6303	33
20518KA00	1	0.917559524	1.2583	2
10437KA00	3	0.917321429	2.3176	4
12567KK00	12	0.916807608	0.173	20
